trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
40,False,"{'a': 0.5, 'e': 0.6689717585696803}",25,0,-109.07568512469383,"{0: 15, 1: 2, 2: 6, 3: 1, 4: 1}",0
41,False,"{'a': 0.5, 'e': 0.6622820409839835}",30,0,-92.46407404584284,"{0: 21, 1: 2, 2: 5, 3: 1, 4: 1}",0
42,False,"{'a': 0.5, 'e': 0.6556592205741436}",25,0,-106.89518967112919,"{0: 18, 1: 0, 2: 5, 3: 0, 4: 2}",0
43,False,"{'a': 0.5, 'e': 0.6491026283684022}",30,11,-4.902033572773467,"{0: 16, 1: 2, 2: 0, 3: 1, 4: 0}",1
44,False,"{'a': 0.5, 'e': 0.6426116020847181}",25,0,-146.31860799606113,"{0: 15, 1: 1, 2: 6, 3: 1, 4: 2}",0
45,False,"{'a': 0.5, 'e': 0.6361854860638709}",20,0,-84.6661863374971,"{0: 15, 1: 0, 2: 2, 3: 2, 4: 1}",0
46,False,"{'a': 0.5, 'e': 0.6298236312032323}",20,7,-64.31792232894296,"{0: 7, 1: 0, 2: 4, 3: 2, 4: 0}",1
47,False,"{'a': 0.5, 'e': 0.6235253948912}",20,0,-14.060961634857861,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
48,False,"{'a': 0.5, 'e': 0.617290140942288}",20,0,-24.704414800704107,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
49,False,"{'a': 0.5, 'e': 0.6111172395328651}",20,11,-2.9484177030471175,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 0}",1
50,False,"{'a': 0.5, 'e': 0.6050060671375365}",25,0,-50.88536950690923,"{0: 21, 1: 1, 2: 1, 3: 1, 4: 1}",0
51,False,"{'a': 0.5, 'e': 0.5989560064661611}",20,0,9.825355768316154,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
52,False,"{'a': 0.5, 'e': 0.5929664464014994}",30,3,-144.2914507731883,"{0: 19, 1: 2, 2: 2, 3: 1, 4: 3}",1
53,False,"{'a': 0.5, 'e': 0.5870367819374844}",20,9,-90.05884347310106,"{0: 5, 1: 0, 2: 4, 3: 1, 4: 1}",1
54,False,"{'a': 0.5, 'e': 0.5811664141181095}",25,0,-83.80409682780801,"{0: 17, 1: 3, 2: 3, 3: 1, 4: 1}",0
55,False,"{'a': 0.5, 'e': 0.5753547499769285}",20,0,-49.294027815450754,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
56,False,"{'a': 0.5, 'e': 0.5696012024771592}",20,0,-100.68220428481962,"{0: 13, 1: 1, 2: 3, 3: 2, 4: 1}",0
57,False,"{'a': 0.5, 'e': 0.5639051904523876}",25,5,-30.064716458125734,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",1
58,False,"{'a': 0.5, 'e': 0.5582661385478638}",25,0,-127.21357056134727,"{0: 16, 1: 2, 2: 4, 3: 1, 4: 2}",0
59,False,"{'a': 0.5, 'e': 0.5526834771623851}",20,0,-26.405673093784035,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
60,False,"{'a': 0.5, 'e': 0.5471566423907612}",25,0,-33.79568579427397,"{0: 21, 1: 2, 2: 1, 3: 0, 4: 1}",0
61,False,"{'a': 0.5, 'e': 0.5416850759668536}",25,0,-74.73203571174967,"{0: 18, 1: 0, 2: 6, 3: 0, 4: 1}",0
62,False,"{'a': 0.5, 'e': 0.536268225207185}",20,10,-14.2219664627778,"{0: 7, 1: 1, 2: 2, 3: 0, 4: 0}",1
63,False,"{'a': 0.5, 'e': 0.5309055429551132}",30,0,-7.37224311271628,"{0: 25, 1: 3, 2: 1, 3: 1, 4: 0}",0
