trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
224,False,"{'a': 0.5, 'e': 0.10526490184835911}",25,0,-19.90390162417265,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
225,False,"{'a': 0.5, 'e': 0.10421225282987552}",20,9,21.570873982378384,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
226,False,"{'a': 0.5, 'e': 0.10317013030157676}",25,1,-10.03156818556546,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 1}",1
227,False,"{'a': 0.5, 'e': 0.10213842899856099}",20,0,11.582444536910621,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
228,False,"{'a': 0.5, 'e': 0.10111704470857538}",20,8,22.872625029573506,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
229,False,"{'a': 0.5, 'e': 0.10010587426148963}",30,17,25.326466116129637,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
230,False,"{'a': 0.5, 'e': 0.09910481551887473}",30,12,21.093686176442297,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
231,False,"{'a': 0.5, 'e': 0.09811376736368599}",30,22,17.17550445149908,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
232,False,"{'a': 0.5, 'e': 0.09713262969004913}",30,13,17.016417459757754,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
233,False,"{'a': 0.5, 'e': 0.09616130339314863}",20,3,25.13790458394129,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
234,False,"{'a': 0.5, 'e': 0.09519969035921715}",25,3,16.395430873625987,"{0: 20, 1: 0, 2: 2, 3: 0, 4: 0}",1
235,False,"{'a': 0.5, 'e': 0.09424769345562498}",25,11,26.453684301808174,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
236,False,"{'a': 0.5, 'e': 0.09330521652106873}",25,14,2.259685033279741,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
237,False,"{'a': 0.5, 'e': 0.09237216435585804}",20,8,9.43738793318771,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
238,False,"{'a': 0.5, 'e': 0.09144844271229946}",20,5,-6.943795118313773,"{0: 13, 1: 0, 2: 1, 3: 1, 4: 0}",1
239,False,"{'a': 0.5, 'e': 0.09053395828517646}",30,7,18.888211628877624,"{0: 21, 1: 0, 2: 2, 3: 0, 4: 0}",1
